CORPORATION,SURVEY,PERIOD,COMPANY_NAME,RDIST_LABEL,STATE_NAME,SITE,QUANTITY,County,State,FIPS
PDV AMERICA INC,820,20,PDV Midwest Refining LLC,Indiana-Illinois-Kentucky,Illinois,LEMONT,179265,Cook,IL,17031
MARATHON PETROLEUM CORP,820,20,MARATHON PETROLEUM CO LP,Indiana-Illinois-Kentucky,Illinois,ROBINSON,253000,Crawford,IL,17033
WRB REFINING LP,820,20,WRB REFINING LP,Indiana-Illinois-Kentucky,Illinois,WOOD RIVER,356000,Madison,IL,17119
EXXON MOBIL CORP,820,20,EXXONMOBIL REFINING & SUPPLY CO,Indiana-Illinois-Kentucky,Illinois,JOLIET,238600,Will,IL,17197
BP PLC,820,20,BP PRODUCTS NORTH AMERICA INC,Indiana-Illinois-Kentucky,Indiana,WHITING,435000,Lake,IN,18089
COUNTRYMARK COOP INC,820,20,COUNTRYMARK COOPERATIVE INC,Indiana-Illinois-Kentucky,Indiana,MOUNT VERNON,28800,Posey,IN,18129
HOLLYFRONTIER CORP,820,20,HOLLYFRONTIER EL DORADO REFINING LLC,Oklahoma-Kansas-Missouri,Kansas,EL DORADO,162000,Butler,KS,20015
CHS INC,820,20,CHS MCPHERSON REFINERY INC,Oklahoma-Kansas-Missouri,Kansas,MCPHERSON,109800,McPherson,KS,20113
CVR ENERGY,820,20,COFFEYVILLE RESOURCES RFG & MKTG,Oklahoma-Kansas-Missouri,Kansas,COFFEYVILLE,132000,Montgomery,KS,20125
MARATHON PETROLEUM CORP,820,20,MARATHON PETROLEUM CO LP,Indiana-Illinois-Kentucky,Kentucky,CATLETTSBURG,291000,Boyd,KY,21019
HUSKY ENERGY INC,820,20,LIMA REFINING COMPANY,Indiana-Illinois-Kentucky,Ohio,LIMA,179000,Allen,OH,39003
MARATHON PETROLEUM CORP,820,20,MARATHON PETROLEUM CO LP,Indiana-Illinois-Kentucky,Michigan,DETROIT,140000,Wayne,MI,26163
KOCH INDUSTRIES INC,820,20,Flint Hills Resources LP,Minnesota-Wisconsin-North and South Dakota,Minnesota,SAINT PAUL,335000,Ramsey,MN,27123
MARATHON PETROLEUM CORP,820,20,ST PAUL PARK REFINING CO LLC,Minnesota-Wisconsin-North and South Dakota,Minnesota,SAINT PAUL,103000,Ramsey,MN,27123
MARATHON PETROLEUM CORP,820,20,TESORO REFINING & MARKETING CO,Minnesota-Wisconsin-North and South Dakota,North Dakota,MANDAN,71000,Morton,ND,38059
MARATHON PETROLEUM CORP,820,20,DAKOTA PRAIRIE REFINING LLC,Minnesota-Wisconsin-North and South Dakota,North Dakota,DICKINSON,19000,Stark,ND,38089
PBF ENERGY CO LLC,820,20,TOLEDO REFINING CO LLC,Indiana-Illinois-Kentucky,Ohio,TOLEDO,172800,Lucas,OH,39095
BP HUSKY REFINING LLC,820,20,BP-HUSKY REFINING LLC,Indiana-Illinois-Kentucky,Ohio,TOLEDO,155000,Lucas,OH,39095
MARATHON PETROLEUM CORP,820,20,MARATHON PETROLEUM CO LP,Indiana-Illinois-Kentucky,Ohio,CANTON,95000,Stark,OH,39151
VALERO ENERGY CORP,820,20,VALERO REFINING CO OKLAHOMA,Oklahoma-Kansas-Missouri,Oklahoma,ARDMORE,86000,Carter,OK,40019
CVR ENERGY,820,20,WYNNEWOOD REFINING CO,Oklahoma-Kansas-Missouri,Oklahoma,WYNNEWOOD,74500,Garvin,OK,40049
PHILLIPS 66 COMPANY,820,20,PHILLIPS 66 COMPANY,Oklahoma-Kansas-Missouri,Oklahoma,PONCA CITY,207000,Kay,OK,40071
HOLLYFRONTIER CORP,820,20,HOLLYFRONTIER TULSA REFINING LLC,Oklahoma-Kansas-Missouri,Oklahoma,TULSA WEST,85000,Tulsa,OK,40143
HOLLYFRONTIER CORP,820,20,HOLLYFRONTIER TULSA REFINING LLC,Oklahoma-Kansas-Missouri,Oklahoma,TULSA EAST,70300,Tusla,OK,40143
VALERO ENERGY CORP,820,20,VALERO REF COMPANY TENNESSEE LLC,Indiana-Illinois-Kentucky,Tennessee,MEMPHIS,180000,Shelby,TN,47157
