state,source key,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
Connecticut,ELEC.COST_BTU.NG-CT-98.M,6.92,5.19,3.99,2.72,2.47,2.39,3.27,2.43,2.28,2.11,3.51,4.78
Maine,ELEC.COST_BTU.NG-ME-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Massachusetts,ELEC.COST_BTU.NG-MA-98.M,8.84,7.34,5.03,4.47,2.49,2.94,3.05,2.69,2.83,2.3,4.29,5.85
New Hampshire,ELEC.COST_BTU.NG-NH-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Rhode Island,ELEC.COST_BTU.NG-RI-98.M,W,7.34,4.28,W,2.54,2.21,2.47,2.33,2.19,2.1,3.92,W
Vermont,ELEC.COST_BTU.NG-VT-98.M,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,ELEC.COST_BTU.NG-NJ-98.M,4.4,3.85,3.58,2.52,2.53,2.41,2.49,2.42,2.4,2.34,2.65,2.57
New York,ELEC.COST_BTU.NG-NY-98.M,5.61,4.33,3.87,2.71,2.54,2.48,2.36,2.18,2.16,1.99,3,3.18
Pennsylvania,ELEC.COST_BTU.NG-PA-98.M,3.54,2.91,2.79,2.43,2.33,2.2,2.2,1.94,1.82,1.63,2.38,2.28
Illinois,ELEC.COST_BTU.NG-IL-98.M,4.78,3.36,4.35,2.97,3.08,2.83,2.64,2.56,W,W,W,W
Indiana,ELEC.COST_BTU.NG-IN-98.M,3.28,2.87,3.21,2.67,2.63,2.49,W,W,2.44,2.1,2.62,2.3
Michigan,ELEC.COST_BTU.NG-MI-98.M,3.36,2.93,3.17,2.69,2.62,2.45,2.43,2.26,2.48,2.12,2.73,2.36
Ohio,ELEC.COST_BTU.NG-OH-98.M,3.24,2.78,2.95,2.55,2.43,2.28,2.21,2.08,2.16,1.88,2.47,2.23
Wisconsin,ELEC.COST_BTU.NG-WI-98.M,3.58,3.5,3.3,2.75,2.58,2.4,W,W,W,W,W,W
Iowa,ELEC.COST_BTU.NG-IA-98.M,2.93,3.94,2.57,2.38,2.35,2.05,2.28,2.18,2.19,2.2,2.55,2.28
Kansas,ELEC.COST_BTU.NG-KS-98.M,3.85,3.81,5.38,2.5,2.4,2.16,2.4,2.2,2.41,2,2.98,4.38
Minnesota,ELEC.COST_BTU.NG-MN-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Missouri,ELEC.COST_BTU.NG-MO-98.M,W,W,W,W,W,W,W,W,W,W,2.63,W
Nebraska,ELEC.COST_BTU.NG-NE-98.M,3.82,3.55,3.88,3.36,2.67,2.53,2.64,2.43,2.66,3.12,3.68,4.01
North Dakota,ELEC.COST_BTU.NG-ND-98.M,5.45,4.21,3.88,2.37,3.28,2.91,2.99,1.97,3.05,2.91,2.78,2.45
South Dakota,ELEC.COST_BTU.NG-SD-98.M,3.08,3.87,3.08,2.28,2.21,2.05,2.06,1.94,2.13,2.01,2.56,2.41
Delaware,ELEC.COST_BTU.NG-DE-98.M,0,0,0,0,0,0,0,0,0,0,0,0
District Of Columbia,ELEC.COST_BTU.NG-DC-98.M,--,--,--,--,--,--,--,--,--,--,--,--
Florida,ELEC.COST_BTU.NG-FL-98.M,4.91,4.14,4.19,W,3.66,3.55,3.39,3.2,3.36,3.46,W,3.76
Georgia,ELEC.COST_BTU.NG-GA-98.M,3.83,3.21,3.38,2.99,2.87,2.79,2.61,2.46,2.69,2.51,2.95,2.69
Maryland,ELEC.COST_BTU.NG-MD-98.M,5.19,3.6,3.39,3.03,W,2.72,W,W,W,2.35,3.31,3.32
North Carolina,ELEC.COST_BTU.NG-NC-98.M,4.78,3.69,3.88,3.67,3.56,3.47,3.2,3.06,3.17,3.23,3.78,3.63
South Carolina,ELEC.COST_BTU.NG-SC-98.M,4.09,3.38,3.48,3.36,3.17,3.01,2.88,2.85,3.08,2.89,3.19,3.16
Virginia,ELEC.COST_BTU.NG-VA-98.M,W,W,3.65,3.29,3.1,2.69,2.59,2.37,2.51,2.26,3.1,3.51
West Virginia,ELEC.COST_BTU.NG-WV-98.M,W,W,3.5,W,W,2.42,W,W,W,1.87,W,2.52
Alabama,ELEC.COST_BTU.NG-AL-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Kentucky,ELEC.COST_BTU.NG-KY-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Mississippi,ELEC.COST_BTU.NG-MS-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Tennessee,ELEC.COST_BTU.NG-TN-98.M,3.54,3.1,3.08,3.29,2.8,2.77,2.61,2.5,2.64,2.76,2.75,2.75
Arkansas,ELEC.COST_BTU.NG-AR-98.M,W,W,W,W,W,W,W,W,W,W,2.7,W
Louisiana,ELEC.COST_BTU.NG-LA-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Oklahoma,ELEC.COST_BTU.NG-OK-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Texas,ELEC.COST_BTU.NG-TX-98.M,3.06,2.7,2.69,2.38,2.32,2.12,2.13,2.08,2.34,2.25,2.4,2.06
Arizona,ELEC.COST_BTU.NG-AZ-98.M,W,W,W,W,W,W,W,W,W,W,W,2.88
Colorado,ELEC.COST_BTU.NG-CO-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Idaho,ELEC.COST_BTU.NG-ID-98.M,3.74,7.87,21.62,2.75,5.46,2.4,2.33,2.25,2.65,3.19,3.28,3.74
Montana,ELEC.COST_BTU.NG-MT-98.M,W,W,W,W,W,W,W,W,W,W,W,2.2
Nevada,ELEC.COST_BTU.NG-NV-98.M,4.37,4.93,4.21,2.91,2.57,2.37,2.42,2.48,2.29,2.49,3,3.98
New Mexico,ELEC.COST_BTU.NG-NM-98.M,2.63,2.22,1.44,0.49,0.48,0.46,0.82,1.12,1.84,1.56,1.73,1.76
Utah,ELEC.COST_BTU.NG-UT-98.M,4.32,5.28,4.07,3,2.24,2.24,2.22,2.3,2.22,2.43,2.82,3.78
Wyoming,ELEC.COST_BTU.NG-WY-98.M,W,3.56,W,W,W,2.68,2.35,W,W,W,W,W
California,ELEC.COST_BTU.NG-CA-98.M,4.86,W,4.42,3.2,2.81,2.96,3.27,3.13,3.39,3.13,3.44,3.88
Oregon,ELEC.COST_BTU.NG-OR-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Washington,ELEC.COST_BTU.NG-WA-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Alaska,ELEC.COST_BTU.NG-AK-98.M,6.76,6.73,6.87,6.85,7,7.06,7.06,7.02,7.04,7,7.04,7.07
Hawaii,ELEC.COST_BTU.NG-HI-98.M,--,--,--,--,--,--,--,--,--,--,--,--
