Fuel,Type,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC,CH4,N2O,CO2,CO2 (w/ C in VOC & CO),GHGs
Petroleum,Default,0.144140523,0.247099104,0.45534634,0.033676143,0.029483159,0.148997299,0.004369055,0.008701989,2.438163964,0.003964098,237.4087358,238.2462724,312.4416772
Petroleum,Steam,0.136176596,0.233446599,0.430187939,0.031815498,0.027854181,0.140765029,0.00412766,0.008221194,2.30345264,0.003745077,224.2916339,225.0828957,295.1789202
Petroleum,ICE,0.237257402,0.406728727,0.749506713,0.055431423,0.048529709,0.245251725,0.007191528,0.014323601,4.013253421,0.006524962,390.7782393,392.1568367,514.2835544
Petroleum,GT,0.165036146,0.282920325,0.521356542,0.038558074,0.033757244,0.170596993,0.005002424,0.00996349,2.791617329,0.004538761,271.8251729,272.7841246,357.7354162
Natural Gas,Default,0.136344475,0.356143739,0.410686371,0.006338856,0.005706728,0.174601947,0.001515521,0.002150212,2.934623645,0.012725783,85.27696108,86.26155581,177.6725976
Natural Gas,Steam,0.192644672,0.503204795,0.580269505,0.008956335,0.008063186,0.246699653,0.00214132,0.003038091,4.146406437,0.017980591,120.4900468,121.8812064,251.038256
Natural Gas,GT,0.196180686,0.512441173,0.590920414,0.009120729,0.008211186,0.251227852,0.002180624,0.003093856,4.222514169,0.018310626,122.7016545,124.118349,255.64609
Natural Gas,CC,0.123291385,0.322047921,0.371368853,0.005731998,0.005160388,0.157886235,0.001370431,0.001944359,2.653674178,0.011507466,77.11287612,78.00320957,160.6629133
Natural Gas,ICE,0.159797149,0.417404181,0.481328715,0.007429205,0.006688345,0.204635305,0.001776207,0.002520071,3.439409558,0.01491475,99.94548891,101.0994442,208.2341397
Coal,Default,0.160367623,0.039515836,0.118368115,0.185345737,0.026014183,0.147819941,0.000783361,0.001728082,3.216653275,0.000706068,34.82272996,35.3846387,132.0713449
Nuclear,Default,0.006370385,0.023750306,0.023571215,0.001562822,0.001121648,0.004892955,0.000186837,0.000343606,0.034381635,0.000238503,11.93317919,11.99035546,13.08500782
