type,profile,miles_car,cars,miles_fleet
phev35,1,3731.111111,168121.8501,627281302.9
phev35,2,11067.05539,6957.69669,77001214.68
phev35,3,11067.05539,313182.2606,3466005426
phev35,4,11067.05539,116325.2087,1287377528
phev35,5,4015,116058.7598,465975920.4
phev35,6,6570,129005.3923,847565427.2
phev35,7,2920,451194.7426,1317488648
phev35,8,11067.05539,50316.78297,556858624.4
phev35,9,11067.05539,124487.7649,1377712990
phev35,10,11067.05539,57019.07037,631033210.2
phev35,11,2190,81119.75494,177652263.3
phev35,12,11067.05539,313308.1237,3467398360
phev35,13,11067.05539,1689.300756,18695585.04
phev35,14,8030,269082.5427,2160732818
phev35,15,11067.05539,180478.0597,1997360684
phev10,1,3650,168121.8501,613644752.8
phev10,2,3650,6957.69669,25395592.92
phev10,3,3650,313182.2606,1143115251
phev10,4,3650,116325.2087,424587011.7
phev10,5,3650,116058.7598,423614473.1
phev10,6,3650,129005.3923,470869681.8
phev10,7,2920,451194.7426,1317488648
phev10,8,3650,50316.78297,183656257.8
phev10,9,3650,124487.7649,454380341.9
phev10,10,3650,57019.07037,208119606.8
phev10,11,2190,81119.75494,177652263.3
phev10,12,3650,313308.1237,1143574651
phev10,13,3650,1689.300756,6165947.76
phev10,14,3650,269082.5427,982151281
phev10,15,3650,180478.0597,658744918
bev265,1,3731.111111,168121.8501,627281302.9
bev265,2,19902.10526,6957.69669,138472811.9
bev265,3,12410,313182.2606,3886591854
bev265,4,21170,116325.2087,2462604668
bev265,5,4015,116058.7598,465975920.4
bev265,6,6570,129005.3923,847565427.2
bev265,7,2920,451194.7426,1317488648
bev265,8,20440,50316.78297,1028475044
bev265,9,13870,124487.7649,1726645299
bev265,10,14600,57019.07037,832478427.3
bev265,11,2190,81119.75494,177652263.3
bev265,12,24090,313308.1237,7547592700
bev265,13,32765.95395,1689.300756,55351550.78
bev265,14,8030,269082.5427,2160732818
bev265,15,18290.55556,180478.0597,3301043978
